price,rating,state,month,weekend
110.0,7.9,Tennessee,January,0
82.0,8.7,Tennessee,January,0
78.0,8.1,Tennessee,January,0
56.0,7.0,Tennessee,January,0
81.0,8.2,Tennessee,January,0
86.0,7.7,Tennessee,January,0
45.0,8.6,Tennessee,January,0
91.0,8.9,Tennessee,January,0
65.0,7.6,Tennessee,January,0
90.0,7.9,Tennessee,January,0
80.0,7.1,Tennessee,January,0
56.0,5.7,Tennessee,January,0
100.0,7.8,Tennessee,January,0
58.0,8.5,Tennessee,January,0
82.0,6.1,Tennessee,January,0
67.0,8.3,Tennessee,January,0
48.0,8.2,Tennessee,January,0
152.0,9.6,Tennessee,January,0
142.0,8.9,Tennessee,January,0
81.0,7.7,Tennessee,January,0
126.0,8.6,Tennessee,January,0
87.0,7.9,Tennessee,January,0
75.0,7.8,Tennessee,January,0
56.0,5.1,Tennessee,January,0
44.0,6.5,Tennessee,January,0
110.0,7.9,Tennessee,January,0
82.0,8.7,Tennessee,January,0
78.0,8.1,Tennessee,January,0
56.0,7.0,Tennessee,January,0
81.0,8.2,Tennessee,January,0
86.0,7.7,Tennessee,January,0
45.0,8.6,Tennessee,January,0
91.0,8.9,Tennessee,January,0
65.0,7.6,Tennessee,January,0
90.0,7.9,Tennessee,January,0
80.0,7.1,Tennessee,January,0
56.0,5.7,Tennessee,January,0
100.0,7.8,Tennessee,January,0
58.0,8.5,Tennessee,January,0
82.0,6.1,Tennessee,January,0
67.0,8.3,Tennessee,January,0
48.0,8.2,Tennessee,January,0
152.0,9.6,Tennessee,January,0
142.0,8.9,Tennessee,January,0
81.0,7.7,Tennessee,January,0
126.0,8.6,Tennessee,January,0
87.0,7.9,Tennessee,January,0
75.0,7.8,Tennessee,January,0
56.0,5.1,Tennessee,January,0
44.0,6.5,Tennessee,January,0
110.0,7.9,Tennessee,January,0
82.0,8.7,Tennessee,January,0
78.0,8.1,Tennessee,January,0
56.0,7.0,Tennessee,January,0
81.0,8.2,Tennessee,January,0
86.0,7.7,Tennessee,January,0
45.0,8.6,Tennessee,January,0
91.0,8.9,Tennessee,January,0
65.0,7.6,Tennessee,January,0
90.0,7.9,Tennessee,January,0
80.0,7.1,Tennessee,January,0
56.0,5.7,Tennessee,January,0
100.0,7.8,Tennessee,January,0
58.0,8.5,Tennessee,January,0
82.0,6.1,Tennessee,January,0
67.0,8.3,Tennessee,January,0
48.0,8.2,Tennessee,January,0
152.0,9.6,Tennessee,January,0
142.0,8.9,Tennessee,January,0
81.0,7.7,Tennessee,January,0
126.0,8.6,Tennessee,January,0
87.0,7.9,Tennessee,January,0
75.0,7.8,Tennessee,January,0
56.0,5.1,Tennessee,January,0
44.0,6.5,Tennessee,January,0
110.0,7.9,Tennessee,January,0
82.0,8.7,Tennessee,January,0
78.0,8.1,Tennessee,January,0
56.0,7.0,Tennessee,January,0
81.0,8.2,Tennessee,January,0
86.0,7.7,Tennessee,January,0
45.0,8.6,Tennessee,January,0
91.0,8.9,Tennessee,January,0
65.0,7.6,Tennessee,January,0
90.0,7.9,Tennessee,January,0
80.0,7.1,Tennessee,January,0
56.0,5.7,Tennessee,January,0
100.0,7.8,Tennessee,January,0
58.0,8.5,Tennessee,January,0
82.0,6.1,Tennessee,January,0
67.0,8.3,Tennessee,January,0
48.0,8.2,Tennessee,January,0
152.0,9.6,Tennessee,January,0
142.0,8.9,Tennessee,January,0
81.0,7.7,Tennessee,January,0
126.0,8.6,Tennessee,January,0
87.0,7.9,Tennessee,January,0
75.0,7.8,Tennessee,January,0
56.0,5.1,Tennessee,January,0
44.0,6.5,Tennessee,January,0
110.0,7.9,Tennessee,January,0
82.0,8.7,Tennessee,January,0
78.0,8.1,Tennessee,January,0
56.0,7.0,Tennessee,January,0
84.0,8.2,Tennessee,January,0
93.0,7.7,Tennessee,January,0
45.0,8.6,Tennessee,January,0
91.0,8.9,Tennessee,January,0
65.0,7.6,Tennessee,January,0
90.0,7.9,Tennessee,January,0
80.0,7.1,Tennessee,January,0
56.0,5.7,Tennessee,January,0
100.0,7.8,Tennessee,January,0
58.0,8.5,Tennessee,January,0
82.0,6.1,Tennessee,January,0
67.0,8.3,Tennessee,January,0
92.0,9.0,Tennessee,January,0
44.0,8.2,Tennessee,January,0
152.0,9.6,Tennessee,January,0
142.0,8.9,Tennessee,January,0
84.0,7.7,Tennessee,January,0
126.0,8.6,Tennessee,January,0
85.0,7.9,Tennessee,January,0
75.0,7.8,Tennessee,January,0
62.0,5.1,Tennessee,January,0
110.0,7.9,Tennessee,January,0
82.0,8.7,Tennessee,January,0
78.0,8.1,Tennessee,January,0
